City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Ampanihy,MG,-24.7,44.75,60.15,77,13,14.32,few clouds
321,Dickinson,US,29.4608,-95.0513,97.07,69,20,3.0,few clouds
322,Dargaville,NZ,-35.9333,173.8833,57.99,66,2,17.29,clear sky
323,Marsa Matruh,EG,31.3525,27.2453,79.0,73,40,9.22,scattered clouds
324,Waddan,LY,29.1614,16.139,75.67,50,0,13.4,clear sky
325,Borogontsy,RU,62.6683,131.1683,78.35,48,60,8.21,broken clouds
326,Baykit,RU,61.67,96.37,78.64,45,0,5.28,clear sky
327,Mount Isa,AU,-20.7333,139.5,71.37,23,52,6.91,broken clouds
328,Rantepao,ID,-2.9701,119.8978,74.66,66,99,2.39,overcast clouds
329,Yablonovo,RU,50.8523,37.3574,67.86,55,0,3.8,clear sky
330,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.86,87,100,2.82,overcast clouds
331,Sarandi,BR,-23.4436,-51.8739,74.75,50,0,11.5,clear sky
332,Batagay,RU,67.6333,134.6333,57.38,78,98,11.88,overcast clouds
333,Ust-Koksa,RU,50.2696,85.6108,58.17,97,100,3.6,overcast clouds
334,Kita,ML,13.0349,-9.4895,77.85,84,99,4.23,light rain
335,Pran Buri,TH,12.3847,99.9098,85.89,65,81,11.61,light rain
336,Saint Anthony,US,45.0205,-93.218,88.72,58,1,1.99,clear sky
337,Belp,CH,46.8913,7.4983,64.02,90,7,4.61,clear sky
338,Yarmouth,US,41.7057,-70.2286,79.45,75,1,8.01,clear sky
339,Alofi,NU,-19.0595,-169.9187,80.49,69,40,5.75,scattered clouds
340,Iqaluit,CA,63.7506,-68.5145,51.53,81,75,1.99,broken clouds
341,Rodeo,US,38.033,-122.2669,85.95,68,1,7.0,clear sky
342,Noeux-Les-Mines,FR,50.4801,2.6657,59.63,97,100,8.16,overcast clouds
343,Port Blair,IN,11.6667,92.75,82.53,84,100,20.33,overcast clouds
344,Toccoa,US,34.5773,-83.3324,81.63,87,75,0.0,light rain
345,Gigmoto,PH,13.7796,124.39,84.4,78,100,15.64,overcast clouds
346,Dicabisagan,PH,17.0818,122.4157,88.38,57,97,2.35,moderate rain
347,Eirunepe,BR,-6.6603,-69.8736,80.19,68,100,1.19,overcast clouds
348,Fortuna,US,40.5982,-124.1573,94.48,85,20,14.97,few clouds
349,Banon,ES,40.8382,-1.1909,61.86,100,10,2.3,clear sky
350,Namibe,AO,-15.1961,12.1522,64.72,83,0,1.77,clear sky
351,Vao,NC,-22.6667,167.4833,68.32,60,33,16.93,scattered clouds
352,Iquique,CL,-20.2208,-70.1431,59.04,79,20,5.37,few clouds
353,Yining,CN,29.0361,114.5636,84.18,75,55,5.68,broken clouds
354,Gat,IL,31.61,34.7642,78.82,84,0,4.61,clear sky
355,Tanggu,CN,39.0211,117.6469,85.96,75,0,5.37,moderate rain
356,San Gavino Monreale,IT,39.5514,8.7917,78.44,75,80,3.85,broken clouds
357,Umm Kaddadah,SD,13.6017,26.6876,76.98,67,46,7.02,scattered clouds
358,Bang Saphan,TH,11.2126,99.5117,80.55,75,100,9.35,overcast clouds
359,Deputatskiy,RU,69.3,139.9,45.63,71,100,3.49,overcast clouds
360,Kolaras,IN,25.2333,77.6,76.28,96,100,13.27,overcast clouds
361,Palmer,US,42.1584,-72.3287,77.61,69,0,2.98,clear sky
362,Buraydah,SA,26.326,43.975,95.45,18,85,11.48,overcast clouds
363,Ishigaki,JP,24.3448,124.1572,86.13,89,75,5.75,broken clouds
364,Pangnirtung,CA,66.1451,-65.7125,52.16,92,58,2.01,broken clouds
365,Srednekolymsk,RU,67.45,153.6833,54.05,48,96,15.32,overcast clouds
366,Rosa Zarate,EC,0.3333,-79.4667,73.44,91,100,2.19,overcast clouds
367,Urumqi,CN,43.801,87.6005,81.55,21,0,11.18,clear sky
368,Moose Factory,CA,51.2585,-80.6094,60.8,59,1,8.05,clear sky
369,Mackay,AU,-21.15,149.2,72.68,68,5,9.22,clear sky
370,Inhambane,MZ,-23.865,35.3833,63.97,68,5,8.25,clear sky
371,Posevnaya,RU,54.3006,83.3297,54.34,76,0,10.92,clear sky
